ID,ファイル名,種類,カード名,攻撃力,防御力,ＣＨ,召還Lv,効果テキスト,画像モチーフ案,状態
1,1.png,モンスター,ミルファイター,500,500,5,1,開：クローズ×１,回転する複数の剣を構えた人型の剣闘士,未
2,2.png,モンスター,パイロウイング,600,400,5,1,攻撃選択制限無効,炎の翼を大きく広げて滑空する猛禽,未
3,3.png,モンスター,ダーククラウド,500,500,4,1,特：「石化」付加,黒雲そのものの姿をした精霊。雲間に石化の魔眼が光る,未
4,4.png,モンスター,スキュラセル,0,0,4,1,Ａ・Ｄ＋手札数×１００,無数の触手を持つ半透明の単細胞状水棲怪物,未
5,5.png,モンスター,ベヒーモス,550,500,3,1,攻撃選択制限無効,岩のような筋肉の巨躯をもつ四足魔獣,未
6,6.png,モンスター,ヴェノムスピナー,450,550,3,1,特：「疫障」付加,毒液を滴らせる大蜘蛛。脚で糸を紡いでいる,未
7,7.png,モンスター,ワーウルフ,500,450,4,1,迎撃能力,月夜に牙をむく狼男。前傾の迎撃の構え,未
8,8.png,モンスター,ピッグマン,500,450,4,1,デッキ内枚数制限なし,棍棒を担いだ豚頭の兵士。素朴で数が多そうな雑兵,未
9,9.png,モンスター,ディゾルバー,350,300,3,1,特：ＬＰ消費ＣＨ１破壊,触れた鎧を溶かす酸のスライム状怪物,未
10,10.png,モンスター,ヨルムンガンド,600,550,6,5,特：A550雷撃,雷を纏い海と空を巻く大海蛇。神話級の威容,未
11,11.png,モンスター,ケツァルコアトル,550,600,6,5,救済能力,慈悲の光を放つ翼ある蛇神。羽毛の虹色,未
12,12.png,モンスター,ウロボロス,550,550,6,5,魔法２回発動,己の尾を噛んで輪をなす竜。輪の中に魔法陣,未
13,13.png,モンスター,ニドヘッグ,500,500,6,3,帯電能力,稲妻を帯電させた漆黒の竜。根に絡みつく,未
14,14.png,モンスター,スフィンクス,550,500,6,4,迎撃能力,謎かけの眼差しをもつ獅子の神獣。砂漠の月夜,未
15,15.png,モンスター,エグゼデグゼス,600,600,6,6,自動防御,異空間の玉座に座す霊界の魔王。最終ボスの風格,未
16,16.png,モンスター,レッドレックス,600,500,6,4,開：A600火弾,口から火弾を放つ深紅の暴君竜,未
17,17.png,モンスター,アバドーン,550,550,6,4,連続攻撃可能,奈落から湧く蝗の群れを従えた魔神,未
18,18.png,モンスター,キリン,500,500,6,4,蜜月能力,雲を踏んで駆ける東洋の聖獣・麒麟,未
19,19.png,モンスター,ブレードライダー,600,450,4,1,跳躍能力,刃の獣に騎乗して突撃する戦士,未
20,20.png,モンスター,フュージョナル,450,500,5,1,融合能力,二体が溶け合い一体になりつつある不定形生物,未
21,21.png,モンスター,ビーストレイザー,500,450,4,1,連続攻撃可能,剃刀の爪で二連撃を繰り出す高速の獣,未
22,22.png,モンスター,ビッグモスキート,400,300,0,1,デッキ攻撃時ＬＰ回復,血を吸って腹が赤く輝く巨大蚊,未
23,23.png,モンスター,アンフィビアス,450,500,3,1,開：手札２枚入手,水辺から現れる両生類の人型。手に貝の小物,未
24,24.png,モンスター,シニスターセラフ,450,400,3,1,開：ＣＨ×１破壊,黒い翼の堕天使。邪悪な微笑,未
25,25.png,モンスター,スケープゴート,550,450,4,1,開：摩り替り,身代わりの呪印を刻まれた山羊の悪魔,未
26,26.png,モンスター,アイスエイジ,550,550,5,1,魔法使用不可,魔法さえ凍らせる冷気を放つ氷河の巨人,未
27,27.png,モンスター,メガゾエア,400,500,2,1,開：クローズ×１,古代の海の巨大原生動物。半透明の傘と触手,未
28,28.png,モンスター,スネイルリキッド,450,600,0,1,死亡時手札帰還,殻まで液状の巨大カタツムリ。倒しても流れて戻る,未
29,29.png,モンスター,ステルスゴブリン,450,500,4,1,開：敵手札×１奪取,影に潜んで手札を狙う盗人ゴブリン,未
30,30.png,モンスター,イビルアイ,500,450,2,1,開：呪爆能力,呪いを宿して浮遊する巨大な単眼,未
31,31.png,モンスター,ドライアード,600,350,4,1,開：ＬＰ＋１回復,癒しの光をこぼす樹の精霊の女性,未
32,32.png,モンスター,キャノンタートル,450,500,3,1,特：Ａ５５０雷撃,甲羅に砲塔を備えた大亀。雷の砲撃,未
33,33.png,モンスター,アサルトワスプ,650,200,2,1,ターン終了時自滅,自爆特攻を仕掛ける大雀蜂。攻撃的な突進,未
34,34.png,モンスター,サイコダイバー,500,400,4,1,特：潜入能力,他者の精神に潜る超能力者。額から光の糸,未
35,35.png,モンスター,ティンバータンク,450,550,5,1,特：自己ＣＨシャッフル,丸太を組んだ装甲車のような木製ゴーレム,未
36,36.png,モンスター,ヘルフライアー,550,450,5,1,特：Ａ５５０烈風,烈風を巻き起こす地獄の飛翔体,未
37,37.png,モンスター,ジャガーノート,550,550,5,1,自己付加能力無効化,止まることのない鎧の巨人。突進の土煙,未
38,38.png,モンスター,デモングローブ,500,550,4,1,特：手札＋１入手,宙に浮く禍々しい悪魔の籠手。指先から札を掴む,未
39,39.png,モンスター,ソウルイーター,550,500,4,1,魔法２回発動,魂を喰らう影の獣。口元に光る魂の粒,未
40,40.png,モンスター,スピアバード,600,350,2,1,開：ＣＨ×１確認,槍のように鋭い嘴の大鳥。急降下,未
41,41.png,モンスター,デアデビル,500,450,4,1,勇猛能力,向こう見ずに笑う小柄な悪魔剣士,未
42,42.png,モンスター,ドラコニアン,500,500,5,1,付加ユニットカード破壊,竜の頭と鱗をもつ竜人の戦士,未
43,43.png,モンスター,リーフベア,450,500,5,1,魔道剣士,葉と苔に覆われた森の熊。魔力を帯びた爪,未
44,44.png,モンスター,ブレインサッカー,450,450,3,1,特：クローズ×１,頭部に吸い付く寄生生物。触手が脈打つ,未
45,45.png,モンスター,デザートニードル,550,450,3,1,特：「腐食」付加,砂漠に立つ針だらけのサボテン怪物,未
46,46.png,モンスター,ハイドクロウ,450,350,3,1,隠遁能力,姿を消しかけている鉤爪の獣。輪郭だけが揺らぐ,未
47,47.png,モンスター,マグネットウェブ,500,400,3,1,味方ユニット保護,磁力の網を張る蜘蛛型の機械生物,未
48,48.png,モンスター,スカウター,500,450,3,1,特：ＣＨ×１確認,単眼の小型偵察ゴーレム。周囲を探る光線,未
49,49.png,モンスター,シャドウハンズ,500,450,5,1,特：ＣＨ×１確認,闇の裂け目から伸びる無数の手,未
50,50.png,モンスター,ソルブレード,400,500,4,1,単体時Ａ＋１５０,太陽の光を刃にした剣を掲げる孤高の騎士,未
51,51.png,モンスター,アントロイド,450,500,3,1,収束能力,群れて力を増す蟻の機械人形,未
52,52.png,モンスター,ブラックドッグ,400,450,4,1,魔法２回発動,魔力の焔を纏う黒犬の妖,未
